ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000003130,,2,1,1,,1,2,,1,2,1,,,,,,4,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003133,3,1,2,1,2,1,2,2,1,1,2,,,,,1,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,1,4,,5,,,,
R_00000000003134,3,1,2,2,1,1,2,2,1,1,2,,,,,4,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,3,,,2,,,,
R_00000000003135,3,1,2,2,1,1,2,2,1,,,,,,,4,,1,,2,3,,,,,,,,,,9,1,,10,12,,,7,,5,3,6,8,,4,11,2,,,,,,,,,,,,1,2
R_00000000003136,2,1,3,2,1,1,2,1,2,1,2,,,,,,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,2,,,,
R_00000000003137,3,2,1,2,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003138,2,1,3,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003139,3,1,2,2,1,1,2,1,2,2,1,4,2,1,3,,,,,,,,,,,,8,,9,3,,12,,1,,,7,4,10,5,11,,,,2,,6,,,,,,,,,,,,,
R_00000000003140,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,4,,2,1,,,,,,,,,,7,8,12,2,11,,,3,,9,,10,5,,1,6,4,,,,,,,,,,,,,
R_00000000003141,3,1,2,2,1,2,1,1,2,2,1,,,,,1,,4,,3,2,,,,,,,,,,1,2,,6,,,,7,,3,,,,,8,5,4,,,,,,,,,,,,,
R_00000000003142,3,1,2,2,1,2,1,2,1,1,2,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,5,,,1,,,,,
R_00000000003143,,,1,1,,,1,1,,1,,,,,,,3,,1,,,,2,,,6,7,,2,4,,,5,,8,,1,,9,,,,,3,,,,,,,,,,,,,,,,
R_00000000003144,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,4,,,2,1,,,6,3,9,1,4,,7,10,,11,2,12,,5,,,,,8,,,,,,,,,,,,,,,,
R_00000000003145,2,3,1,1,2,1,2,2,1,2,1,,,,,2,1,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,,1,3,,,,,
R_00000000003146,3,2,1,1,2,2,1,2,1,1,2,,,,,,1,,2,,,3,4,,,3,2,9,11,5,,,6,,7,8,4,,10,,,,,12,1,,,,,,,,,,,,,,,
R_00000000003147,3,2,1,2,1,2,1,1,2,2,1,,,,,3,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003148,3,2,1,1,2,2,1,1,2,2,1,,,,,,3,,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,2,1,,,4,,,,
R_00000000003149,,,1,1,,,1,1,,1,,,,,,,3,,1,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000003150,,,1,1,,,1,1,,1,,,,,,,4,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003151,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
R_00000000003152,,1,2,2,1,2,1,1,2,2,1,,,,,1,,4,,,,2,3,,,,10,9,8,11,,2,,,3,,7,12,,,,1,6,4,,,5,,,,,,,,,,,,,
R_00000000003153,2,1,3,2,1,1,2,1,2,1,2,,,,,1,,2,,4,3,,,,,,,,,,4,5,,11,,,12,1,,9,10,8,6,,2,7,3,,,,,,,,,,,,,
R_00000000003154,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003155,2,1,3,1,2,1,2,1,2,1,2,,,,,1,,,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,4,3,5,,,,
R_00000000003156,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000003157,3,2,1,1,2,1,2,1,2,1,2,,,,,4,,3,,2,1,,,,,12,9,,,,,,,,3,8,,4,6,1,11,7,,2,10,5,,,,,,,,,,,,,,
R_00000000003158,2,1,3,2,1,1,2,2,1,1,2,,,,,3,4,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,1,,5,,,,
R_00000000003159,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,2,,1,4,,,,,,
R_00000000003160,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003161,2,3,1,2,1,2,1,1,2,2,1,,,,,4,,,1,3,,2,,,,10,11,,,,6,,,2,9,,,5,4,7,12,,,8,1,,3,,,,,,,,,,,,2,1
R_00000000003162,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003163,3,1,2,2,1,1,2,1,2,1,2,,,,,4,,3,1,2,,,,,,,,,9,,7,6,11,4,,,12,3,,2,5,1,,10,,,8,,,,,,,,,,,,1,2
R_00000000003164,3,2,1,1,2,2,1,2,1,2,1,,,,,,,,,1,3,2,4,,,5,7,,,,12,,,4,3,,10,2,,1,9,,11,,8,6,,,,,,,,,,,,,1,2
R_00000000003165,3,1,2,2,1,1,2,1,2,1,2,,,,,2,,,,,1,,,,,5,,,,,,4,3,,,1,,,,2,,,,,6,,,,,,,,,,,,,,,
R_00000000003166,,,,2,1,2,1,1,2,2,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003167,3,1,2,1,2,2,1,1,2,1,2,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,5,3,1,,,,,,
R_00000000003168,3,2,1,1,2,2,1,1,2,1,2,,,,,1,4,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000003169,,1,,,1,1,,,1,,,,,,,4,,3,,2,1,,,,,,,,,,10,7,,2,,,,9,,3,11,8,4,,1,6,5,,,,,,,,,,,,,
R_00000000003170,3,1,2,1,2,1,2,2,1,2,1,,,,,2,3,,1,,4,,,,,2,,4,5,,,11,7,6,,,8,,,,,1,,10,12,9,3,,,,,,,,,,,,,
R_00000000003171,3,2,1,1,2,2,1,2,1,2,1,,,,,3,,,,,1,2,4,,,6,12,10,11,3,,2,9,,5,1,4,,8,,,,,7,,,,,,,,,,,,,,,,
R_00000000003172,3,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003173,,,1,2,1,2,1,1,,1,,,,,,,4,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1
R_00000000003174,1,3,2,2,1,2,1,2,1,2,1,,,,,4,,3,,2,1,,,,,,,9,,,6,8,,1,4,,,3,,10,5,,7,,12,2,11,,,,,,,,,,,,,
R_00000000003175,2,3,1,1,2,1,2,1,2,1,2,,,,,,4,,1,,,3,2,,,11,8,5,7,10,,,4,,2,3,6,12,9,,,,,1,,,,,,,,,,,,,,,,
R_00000000003176,,1,,,1,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
R_00000000003177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003178,3,2,1,1,2,2,1,1,2,2,1,,,,,,4,,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000003179,1,3,2,1,2,2,1,1,2,1,2,,,,,,1,,4,,,3,2,,,8,3,4,10,1,,,2,,7,11,5,,6,,,12,,9,,,,,,,,,,,,,,,,
R_00000000003180,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,1,,2,,,4,,,,
R_00000000003181,3,1,2,2,1,2,1,2,1,1,2,,,,,1,3,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,5,,4,1,,,,,
R_00000000003182,2,1,3,2,1,2,1,2,1,2,1,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,5,2,,,,1,,,,
R_00000000003183,3,2,1,1,2,2,1,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000003184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000003185,2,1,3,1,2,2,1,2,1,2,1,,,,,2,3,,,4,1,,,,,3,,4,,,11,12,,2,,,9,8,,,,10,7,5,1,,6,,,,,,,,,,,,,
R_00000000003186,3,1,2,2,1,1,2,1,2,2,1,,,,,3,,4,,,2,1,,,,,,,,,,2,,,1,4,3,,,5,6,,,,,,,,,,,,,,,,,,,
R_00000000003187,3,2,1,2,1,2,1,2,1,1,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003189,3,2,1,1,2,1,2,2,1,1,2,,,,,1,4,,,,2,3,,,,,,6,9,,8,12,,1,,,3,11,10,,2,5,,4,7,,,,,,,,,,,,,,1,2
R_00000000003190,3,1,2,1,2,2,1,2,1,1,2,,,,,,1,,3,,4,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000003191,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000003192,,,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,,3,,,2,7,6,3,,,,,,,5,4,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000003193,3,1,2,2,1,2,1,2,1,1,2,,,,,2,1,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000003196,3,1,2,2,1,2,1,1,2,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003198,3,1,2,1,2,2,1,1,2,1,2,,,,,,,2,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,2,4,5,,,,
R_00000000003199,3,2,1,1,2,2,1,1,2,2,1,,,,,1,2,,,,4,,3,,,3,,8,11,,,9,4,,,12,7,5,,,,6,,1,2,10,,,,,,,,,,,,,,
R_00000000003200,,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003201,2,1,3,2,1,1,2,2,1,2,1,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003202,3,1,2,1,2,1,2,2,1,2,1,,,,,,3,,1,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003203,3,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
R_00000000003204,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,4,3,,,8,9,5,1,11,,,6,,4,7,2,,10,,12,,,3,,,,,,,,,,,,,,,,
R_00000000003205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000003206,,,,,,,,,,2,1,,,,,4,,2,,1,,3,,,,,,,,,,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,
R_00000000003207,3,1,2,2,1,2,1,2,1,1,2,,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,4,,5,1,,,,,
R_00000000003208,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,2,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,1,,4,,,3,,,,
R_00000000003209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003210,3,2,1,2,1,1,2,2,1,2,1,,,,,3,,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,2,4,,,,,
R_00000000003211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003212,3,2,1,1,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,2,,,,,,,,,,,,,,,,
R_00000000003213,,,,2,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000003214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000003215,3,1,2,2,1,2,1,2,1,1,2,,,,,1,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,3,5,2,,,,
R_00000000003216,2,1,3,2,1,2,1,1,2,1,2,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,,,4,,5,,,,
R_00000000003217,1,3,2,2,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003219,3,2,1,1,2,1,2,2,1,1,2,,,,,2,,4,,3,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,
R_00000000003220,3,2,1,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003221,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2
R_00000000003222,2,1,3,1,2,2,1,2,1,1,2,,,,,,,1,,4,,3,2,,,5,6,,,12,7,1,9,,,,,,,4,10,,2,3,11,8,,,,,,,,,,,,,,
R_00000000003223,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,3,,,,2,1,,,,
R_00000000003224,2,3,1,1,2,2,1,1,2,1,2,,,,,,4,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
R_00000000003225,2,1,3,2,1,1,2,2,1,2,1,,,,,,2,1,4,3,,,,,,,,,,,,3,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,
R_00000000003226,2,1,3,2,1,2,1,1,2,1,2,,,,,1,3,,2,4,,,,,,,,,,,,1,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003227,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003228,3,1,2,1,2,2,1,1,2,1,2,,,,,,,2,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000003229,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,2,,,4,1,,,3,8,5,10,11,,12,4,,7,9,1,,6,,,,,2,,,,,,,,,,,,,,,,
R_00000000003230,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003231,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003232,3,1,2,1,2,2,1,2,1,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003233,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,3,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003235,3,1,2,2,1,2,1,2,1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003236,3,1,2,2,1,2,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,1
R_00000000003237,,,1,1,,,1,1,,1,,,,,,,,,,,,,1,,,3,,2,,,,,,5,4,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000003238,3,2,1,1,2,1,2,2,1,2,1,,,,,2,3,,1,,4,,,,,7,,,,4,11,3,12,10,,,,2,,8,,9,1,,6,5,,,,,,,,,,,,,1,2
R_00000000003239,,,1,1,,,1,1,,,,,,,,,3,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003240,2,3,1,1,2,2,1,1,2,2,1,,,,,,4,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000003241,3,1,2,1,2,,,2,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000003242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000003243,1,3,2,1,2,2,1,1,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000003244,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003245,2,1,3,1,2,2,1,2,1,2,1,,,,,2,4,3,,,1,,,,,5,9,,7,,,,11,8,,,,6,10,12,,,3,2,,1,4,,,,,,,,,,,,2,1
R_00000000003246,2,1,3,2,1,1,2,2,1,1,2,,,,,3,,2,,1,4,,,,,,,,,,7,,,4,,,,1,,,,5,,,3,6,2,,,,,,,,,,,,,
R_00000000003247,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,2,4,,,3,,,,,1,2,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,
R_00000000003248,2,3,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000003249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003250,3,2,1,1,2,2,1,1,2,2,1,,,,,2,4,,,,3,1,,,,,,,,,,,,,,,,,,,,2,,3,1,,,,,,,,,,,,,,,
R_00000000003251,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,4,1,,,8,5,9,2,10,,,7,,4,6,3,,11,,,,,1,,,,,,,,,,,,,,,,
R_00000000003252,1,2,3,1,2,2,1,1,2,2,1,,,,,3,4,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003253,,,,,,,,,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003254,1,2,3,2,1,1,2,1,2,1,2,,,,,,,3,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,5,4,,,,
R_00000000003255,1,2,3,2,1,1,2,2,1,2,1,,,,,2,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,5,,2,3,,,,
R_00000000003256,1,2,3,2,1,,,1,2,2,1,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,3,,,,
R_00000000003257,2,1,3,2,1,1,2,2,1,1,2,,,,,3,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,,2,,,4,,,,
R_00000000003258,3,1,2,1,2,1,2,1,2,,,,,,,1,,,,4,,2,3,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000003259,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,4,,,3,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000003260,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,3,1,,,,
R_00000000003261,,,1,1,,,1,1,,1,,,,,,,3,,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000003262,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,4,,,,,
R_00000000003263,3,1,2,1,2,2,1,1,2,1,2,,,,,,4,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000003264,3,2,1,1,2,2,1,2,1,1,2,,,,,4,3,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003265,,1,,,,1,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003266,1,2,3,1,2,1,2,2,1,2,1,,,,,1,,,4,3,,2,,,,,,7,3,9,1,12,2,,,10,4,,,,,8,,,11,6,5,,,,,,,,,,,,1,2
R_00000000003267,1,,,,1,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003268,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003269,,,,,,2,1,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,5,,,,2,1,,,,
R_00000000003270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000003271,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000003272,2,3,1,1,2,2,1,1,2,2,1,,,,,,2,,4,,,3,1,,,3,4,6,2,7,,,5,,8,9,10,,11,,,,,1,,,,,,,,,,,,,,,,
R_00000000003273,3,2,1,1,2,2,1,1,2,2,1,,,,,,1,,3,,,4,2,,,9,7,,6,12,11,,2,4,5,,3,,,,8,10,,1,,,,,,,,,,,,,,,,
R_00000000003274,3,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003275,2,1,,1,,,,,,1,,,,,,4,1,,,,,3,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003276,1,3,2,1,2,2,1,1,2,1,2,,,,,,,,1,,3,2,4,,,7,,,9,,,11,,2,1,5,,6,,10,8,3,12,,4,,,,,,,,,,,,,,,
R_00000000003277,3,1,2,2,1,2,1,1,2,1,2,,,,,,,,,1,3,2,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2
R_00000000003278,2,3,1,1,2,2,1,1,,1,,,,,,,4,,3,,,2,1,,,,10,8,3,7,,,4,,1,5,9,,2,,,11,,6,12,,,,,,,,,,,,,,,
R_00000000003279,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003280,1,2,,2,1,2,1,2,1,2,1,,,,,1,,4,,3,2,,,,,8,,,9,,3,2,,,,10,,11,,6,5,,12,,1,7,4,,,,,,,,,,,,,
R_00000000003281,2,3,1,1,2,,1,1,,1,,,,,,,,,,,,,,,,6,3,9,4,7,,,1,,2,10,8,12,11,,,,,5,,,,,,,,,,,,,,,,
R_00000000003282,2,1,3,2,1,1,2,2,1,1,2,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003283,1,3,2,2,1,2,1,2,1,1,2,,,,,,,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,4,,1,,,,,
R_00000000003284,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
R_00000000003285,1,2,3,2,1,1,2,2,1,2,1,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003286,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,2,,1,,,4,,,,
R_00000000003287,1,2,3,2,1,1,2,2,1,1,2,,,,,2,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,1,,5,,,4,,,,
R_00000000003288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
